id,is_humor
965807211292364801,0
638403841839484928,0
670068341596413952,0
838978918493392896,0
796725289120309249,0
965902656882561024,1
792432498034606080,0
965730841421807622,0
365618789150228483,0
965770582452310017,1
961893183335682048,0
942943697385160704,0
498210015787089920,1
963449174351138819,1
960989786428379138,0
849419280634576898,0
730789158600445952,1
120280890151665664,0
849065030956052482,1
861751587856953344,1
960122061803999232,1
324277650690543616,0
813256589532479489,0
965759656265175041,0
944237854808408064,1
965763234044268544,0
965933203998625793,0
733306267884789761,1
965847845722042368,0
725311059406426113,1
965815314700095488,0
754224472220176385,0
481270648191209472,1
965833979369869312,0
965813620193091584,0
965714248730112000,0
965713820932034565,0
965906347878486016,0
883209877103017985,0
965701238003290112,0
965720108185374721,0
956097740429320192,1
950454798591119360,0
965803469968986118,0
880509102371119104,0
296465020949245952,1
707949940820090880,1
827523096361975810,1
965806116583149568,0
965779730212507648,0
965753926883659776,0
69602909511364608,1
965935775094276096,0
965850777527947264,0
926285575367294976,0
718175705473904640,1
964235164816756738,0
965754459543560192,0
910224162689572864,0
941880436044599296,1
904843834324111360,0
945053225954131968,1
912846007116881920,0
286205117722664960,1
965791394584506369,0
965795404334944256,0
68124406022545408,1
965716748556296192,0
328490816735698946,0
965958755685978112,0
965774852232744965,0
901081979956940800,1
973613913534156800,1
940629075411922944,0
296033779892506625,0
961658408008118272,1
935014612222791680,0
876815982781747203,1
965824684766920706,0
965771916224159749,0
957028871735521281,1
965805541976133632,0
962252233801912320,0
965913121671073794,0
965785254131888128,0
965662541383905280,0
965848017684369409,0
965726546433597441,0
965935783491272705,0
680445479231078401,0
940644175325708288,1
903756110275989508,1
275074192427323392,1
965603916661624832,0
911207420743098368,0
824046931454345216,1
409348817285181441,1
965696326485856261,0
932406452534239232,0
614550291627802624,1
196399821542785025,1
532267315736637440,0
917942165334036480,0
481164889914753026,0
965842623830179840,0
965848843958054912,1
837394331677917184,1
935982252248391680,0
724010718878560256,1
965929777247981568,0
965691993757310977,0
965685719074254848,0
965722201138892800,0
69531550131290114,1
965903369926832129,0
945506211788492800,1
845768088113106944,1
804676787221499904,0
863164541521317888,0
418873351113670656,0
158659817152593920,1
965708720645857281,0
965764613940838400,0
965820108772904960,0
965926954494021635,0
757958428807409664,0
965936672708980736,0
965809631430873089,0
965805428742516736,0
965741016795025408,0
965679494731321347,0
965761711474126848,0
943183413317644288,0
965713665755316226,0
946635556548726784,0
961370339228954624,0
612591465408147456,1
71316137626972161,1
965737636206989312,1
965695273736589312,0
781067179462578176,0
965727028799590400,0
846545522030759937,1
965785895860363265,0
635656858833944576,0
391536760749965312,1
428869209343287298,0
343186798224220162,1
955484330133946368,1
135067891656691712,0
965700013287501827,0
965737824921247745,0
229068921007915010,0
944049744875261958,1
965660670724395015,0
122728088806240256,1
965769919739629568,0
350038391888424960,1
914582446892396544,1
965662759462539264,0
965871623231426561,0
940042089290637312,0
