id,text,is_humor
787502800968097796,Ojalá hoy le echen algo a mi bebida porque no me alcanzó para comprar mi propia droga.,1
611527869752299520,Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,1
965806145947529216,"Y si me caigo me levanto, sin perder el encanto.",0
965687619093975046,Siempre digo que me urge ir al gym y NADAMAS NO VOYYY😩,0
965944344082616326,Buenas tardes amigos del AIM🙋🏾‍♂️,0
935660327332663296,¿Quien compro?  #Sép7imoDía,0
272090777390301184,"80 PERSONAS MAS PARA LLEGAR A LOS 15.000 SEGUIDORES GRACIAS :D, FELIZ FIN DE SEMANA PARA TODOS!!!",0
284503087413067776,¿Fingir una sonrisa? Soy profesional en eso.,0
410081465657864192,"Familia ocupa un terreno sagrado en Hawai.
La policía los desaloha.",1
962088803832868865,Solo un 3% de la población entiende esto.,0
410516709460553728,No te quiero presionar pero ya le dije a mi abuelita que teja un suéter para nuestro hijito.,0
965918813354160128,El 70% de veces que hago buenas migas con alguien es porque nos cae mal la misma persona y me siento entendida. Comprobadísimo.,0
965677041076047873,Amistad es amigo.,0
955263556957728769,Les iba a contar un chiste de suicidas pero me colgué,1
254668855845216257,Expresiones que sólo entienden y hacen gracia a tu grupo de amigos.,0
916443518381457409,Es increíble lo que dura la batería del celular cuando nadie te quiere.,1
965695361787596800,Deja de llorar river plaaaate,0
899654234022465542,un saludo a todos mis enemigos imaginarios guau,0
965792703215783936,Un mamut chiquitito queria volar,0
965793567246639104,"7. No te saco, tremenda sonrisa",0
965709731477315584,Poco me asusta y nada me frena.,0
965863398205353985,Dato: Nunca más comer lentejas antes de acostarme a dormir... 😂😂😂😭😭😭😓,0
731997524505047040,"—Te amo
—PENAL PARA EL AMÉRICA 
—Pero...
—PENAL PARA LAS CHIVAS",1
965774386694410240,"Me duele haber corrido para no llegar, ahora sé que el camino es la meta también.",0
965751120856576001,gente sera que o netflix party funciona no xilften mkkkkk acho q nao ne,0
720761967586230272,"""Lo bueno de Internet es que uno escribe algo entre comillas, cita una fuente y lo hace creíble"" - Aristóteles",1
292029887441690624,"Adita,enough is enough,no te rebajes mas han pasado 4 anos! Superaloooo!! Y ya! Q pasa!? Tu vales mas q un libro q revuelca tu intimidad!!",0
965955249281404929,"Reporte MET., 9 a.m., Todos los aeropuertos del país operan con total normalidad.",0
1092851416979460098,"Tengo una mala maña.
Cuando envío una nota voz explicando algo comienzo a hacer gestos, mínimo la otra persona me esta viendo.",0
94223927886348288,"-Yo tomé votos de pobreza, castidad y obediencia. -Te volviste cura? -No, estoy casado y con hijos... #fb",1
965856901207613440,Mucha información para un solo día,0
965856246929788928,epa eu quero bue dormir mas tenho de me levantar ugh,0
703695812136706048,Manizales ya no hace frio como antes 😥,0
647163484770316288,"Espero que Dios tenga algún plan para mi, porque los que hice son como los planes de Personal, parecen buenos pero nunca funcionan.",1
925909845882138624,"—Qué padre está tu disfraz de calabaza. 
—Es de zanahoria. 
—Ah.",1
728282259724197888,"—¿Cuál es tu sueño más grande?
—El que me agarra después de comer.     By @dfriestra",1
738775308707450881,Una palabra de aliento después de un fracaso vale más que una hora de alabanzas después de un éxito.,0
940422417448603648,Sacaron a Nilsondel freezer.,0
965907258025611264,"-Just what he want---Como si nada, solo se mueve un poco-.",0
1082698255706787841,A mí es que me hablas de procastinar y me tumbo en tu sofá.,0
965731302807830528,Que Vignolo es mas bostero que cagar en la vereda y limpiarse con la mano lo sabemos todos,0
945056783411896320,¡Qué audífonos tan grandes tienes! Son para ¡ignorarte mejor!,1
938439646710657024,"—Oye, ¿tu crees en los alienígenas?
—Claro wey.
—¿En los unicornios?
—Pues Ahuevo.
—¿Y en el amor?
—JAJAJÁ no mames, esa madre no existe.",1
965860151822618625,buenos dias 🌼,0
777336733457346560,"Si mi vida dependiera de un acto de verdadero amor, sin duda moriría :^( guau",0
384080098481422336,"Tirar la Liga en Septiembre, perder contra el Atleti en el primer año. Ancelotti, a la próxima te espero en el parking si intentas superarme",0
971927535654236160,"Resumiendo este día, las mujeres que sigo aquí son las que necesitamos en este país.
Las amo ( aplausos con lágrimas )",0
925468173490630656,La verdad para que me hago ilusiones con esa morra. Me va a mandar a la verga por feo y pobre.,0
953356431381618688,"Si llegáramos a encontrarnos en otra vida, ni me saludes, ya bastante nos aferramos en esta cómo para ser tan tercos y chingarnos de nuevo.",0
114102690124013569,"Vamos por partes (tupac amaru)
#frases",1
